CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
10-SEP-17 12.27.26.938000000 AM,24,3,53.0599975585938
10-SEP-17 12.27.44.925000000 AM,24,7,52.9899978637695
10-SEP-17 12.35.31.075000000 AM,24,1,48.0999984741211
10-SEP-17 01.24.17.501000000 AM,24,5,8.76999950408936
10-SEP-17 01.32.05.257000000 AM,24,0,84.7599945068359
10-SEP-17 01.32.05.257000000 AM,24,4,89.9499969482422
10-SEP-17 01.32.08.268000000 AM,24,0,85.7699966430664
10-SEP-17 01.32.11.263000000 AM,24,4,90.9799957275391
10-SEP-17 01.37.00.007000000 AM,24,4,89.9499969482422
10-SEP-17 01.37.12.035000000 AM,24,0,84.7599945068359
10-SEP-17 01.37.15.015000000 AM,24,0,85.7699966430664
10-SEP-17 01.37.18.025000000 AM,24,4,90.9799957275391
10-SEP-17 02.04.35.220000000 AM,24,1,49.1199989318848
10-SEP-17 02.30.34.241000000 AM,24,4,89.9499969482422
10-SEP-17 02.31.01.245000000 AM,24,4,90.9799957275391
10-SEP-17 02.37.38.270000000 AM,24,4,89.9499969482422
10-SEP-17 02.37.59.564000000 AM,24,3,25.6299991607666
10-SEP-17 02.37.59.564000000 AM,24,7,25.5299987792969
10-SEP-17 02.38.02.544000000 AM,24,7,53.1199989318848
10-SEP-17 02.38.02.544000000 AM,24,3,53.189998626709
10-SEP-17 02.38.05.149000000 AM,24,4,91.1800003051758
10-SEP-17 02.43.50.975000000 AM,24,4,89.9499969482422
10-SEP-17 02.44.23.329000000 AM,24,4,90.9799957275391
10-SEP-17 02.49.08.985000000 AM,24,4,89.9499969482422
10-SEP-17 02.49.23.992000000 AM,24,0,84.7599945068359
10-SEP-17 02.50.09.077000000 AM,24,0,85.7699966430664
10-SEP-17 02.51.06.595000000 AM,24,4,90.9799957275391
10-SEP-17 02.56.55.009000000 AM,24,1,31
10-SEP-17 02.56.57.989000000 AM,24,1,48.6399993896484
10-SEP-17 03.21.50.476000000 AM,24,0,77.8399963378906
10-SEP-17 03.21.50.476000000 AM,24,4,82.7399978637695
10-SEP-17 03.21.54.485000000 AM,24,4,90.9799957275391
10-SEP-17 03.21.54.485000000 AM,24,0,85.9700012207031
10-SEP-17 04.03.18.302000000 AM,24,4,89.9499969482422
10-SEP-17 04.06.15.598000000 AM,24,0,84.9599990844727
10-SEP-17 04.06.42.649000000 AM,24,0,85.9700012207031
10-SEP-17 04.06.42.649000000 AM,24,4,91.1800003051758
10-SEP-17 04.22.29.534000000 AM,24,3,25.6299991607666
10-SEP-17 04.22.29.534000000 AM,24,7,25.5299987792969
10-SEP-17 04.22.31.531000000 AM,24,7,53.1199989318848
10-SEP-17 04.22.31.531000000 AM,24,3,53.189998626709
10-SEP-17 04.23.35.461000000 AM,24,4,89.9499969482422
10-SEP-17 04.24.01.357000000 AM,24,4,90.9799957275391
10-SEP-17 04.57.02.068000000 AM,24,1,48.2299995422363
10-SEP-17 05.00.14.044000000 AM,24,4,89.9499969482422
10-SEP-17 05.00.31.953000000 AM,24,4,82.5400009155273
10-SEP-17 05.00.31.953000000 AM,24,0,77.8399963378906
10-SEP-17 05.00.34.948000000 AM,24,0,85.7699966430664
10-SEP-17 05.00.34.948000000 AM,24,4,90.7699966430664
10-SEP-17 05.25.12.131000000 AM,24,5,8.63999938964844
10-SEP-17 05.29.22.499000000 AM,24,1,30.7899990081787
10-SEP-17 05.29.25.510000000 AM,24,1,48.1699981689453
