CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
24-SEP-17 12.05.04.637000000 AM,24,1,48.439998626709
24-SEP-17 12.19.29.849000000 AM,24,3,53.0599975585938
24-SEP-17 12.19.32.845000000 AM,24,7,52.9899978637695
24-SEP-17 12.21.47.458000000 AM,24,4,89.7399978637695
24-SEP-17 12.21.51.452000000 AM,24,4,91.1800003051758
24-SEP-17 12.39.22.477000000 AM,24,4,89.9499969482422
24-SEP-17 12.39.25.488000000 AM,24,0,84.9599990844727
24-SEP-17 12.39.46.486000000 AM,24,0,86.1800003051758
24-SEP-17 12.39.46.486000000 AM,24,4,91.1800003051758
24-SEP-17 12.40.16.687000000 AM,24,5,8.76999950408936
24-SEP-17 12.42.37.478000000 AM,24,0,77.8399963378906
24-SEP-17 12.42.37.478000000 AM,24,4,82.5400009155273
24-SEP-17 12.42.40.489000000 AM,24,0,85.7699966430664
24-SEP-17 12.42.40.489000000 AM,24,4,90.7699966430664
24-SEP-17 01.26.52.959000000 AM,24,3,25.6299991607666
24-SEP-17 01.26.52.959000000 AM,24,7,25.5299987792969
24-SEP-17 01.26.55.954000000 AM,24,3,53.189998626709
24-SEP-17 01.26.55.954000000 AM,24,7,53.1199989318848
24-SEP-17 01.30.53.559000000 AM,24,4,89.7399978637695
24-SEP-17 01.30.53.559000000 AM,24,0,84.7599945068359
24-SEP-17 01.30.56.554000000 AM,24,4,90.7699966430664
24-SEP-17 01.30.56.554000000 AM,24,0,85.7699966430664
24-SEP-17 02.05.47.810000000 AM,24,1,48.2299995422363
24-SEP-17 02.07.17.604000000 AM,24,4,89.7399978637695
24-SEP-17 02.07.17.604000000 AM,24,0,84.7599945068359
24-SEP-17 02.07.20.615000000 AM,24,4,90.7699966430664
24-SEP-17 02.07.20.615000000 AM,24,0,85.7699966430664
24-SEP-17 02.17.28.020000000 AM,24,3,25.6299991607666
24-SEP-17 02.17.28.020000000 AM,24,7,25.5299987792969
24-SEP-17 02.17.31.031000000 AM,24,3,53.189998626709
24-SEP-17 02.17.31.031000000 AM,24,7,53.1199989318848
24-SEP-17 02.32.43.653000000 AM,24,0,84.7599945068359
24-SEP-17 02.32.43.653000000 AM,24,4,89.7399978637695
24-SEP-17 02.32.46.648000000 AM,24,0,85.7699966430664
24-SEP-17 02.32.46.648000000 AM,24,4,90.7699966430664
24-SEP-17 02.40.20.860000000 AM,24,5,8.84000015258789
24-SEP-17 02.52.06.874000000 AM,24,1,30.7199993133545
24-SEP-17 02.52.09.885000000 AM,24,1,48.439998626709
24-SEP-17 02.54.33.687000000 AM,24,0,84.7599945068359
24-SEP-17 02.54.33.687000000 AM,24,4,89.7399978637695
24-SEP-17 02.54.36.682000000 AM,24,4,90.7699966430664
24-SEP-17 02.54.36.682000000 AM,24,0,85.7699966430664
24-SEP-17 02.58.49.091000000 AM,24,3,25.6299991607666
24-SEP-17 02.58.49.091000000 AM,24,7,25.5299987792969
24-SEP-17 02.58.52.087000000 AM,24,7,53.1199989318848
24-SEP-17 02.58.52.087000000 AM,24,3,53.189998626709
