CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
17-SEP-17 12.10.20.429000000 AM,21,1,47.4300003051758
17-SEP-17 01.35.18.748000000 AM,21,3,52.8699989318848
17-SEP-17 01.48.38.534000000 AM,21,5,9.80000019073486
17-SEP-17 02.10.26.509000000 AM,21,1,47.3600006103516
17-SEP-17 04.10.29.184000000 AM,21,1,47.4300003051758
17-SEP-17 05.28.32.261000000 AM,21,4,47.3499984741211
17-SEP-17 05.51.04.345000000 AM,21,5,9.92999935150146
17-SEP-17 06.10.36.100000000 AM,21,1,47.3600006103516
17-SEP-17 07.28.39.921000000 AM,21,4,47.5599975585938
17-SEP-17 08.10.37.263000000 AM,21,1,47.4300003051758
17-SEP-17 09.52.29.553000000 AM,21,5,9.80000019073486
17-SEP-17 11.29.06.090000000 AM,21,4,47.3499984741211
17-SEP-17 11.52.30.786000000 AM,21,5,9.92999935150146
17-SEP-17 01.29.09.561000000 PM,21,4,47.5599975585938
17-SEP-17 01.54.32.412000000 PM,21,5,9.80000019073486
17-SEP-17 02.10.54.937000000 PM,21,1,47.3600006103516
17-SEP-17 03.44.57.558000000 PM,21,4,47.3499984741211
17-SEP-17 03.45.02.784000000 PM,21,3,53
17-SEP-17 04.11.11.156000000 PM,21,1,47.4300003051758
17-SEP-17 05.44.57.925000000 PM,21,4,47.5599975585938
17-SEP-17 05.45.46.285000000 PM,21,3,52.8699989318848
17-SEP-17 06.11.11.819000000 PM,21,1,47.3600006103516
17-SEP-17 08.03.22.046000000 PM,21,5,9.92999935150146
17-SEP-17 08.11.12.997000000 PM,21,1,47.4300003051758
17-SEP-17 09.45.17.956000000 PM,21,4,47.3499984741211
