CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
05-NOV-17 12.13.51.553000000 AM,53,1,30.7999992370605
05-NOV-17 12.13.54.563000000 AM,53,1,48.5299987792969
05-NOV-17 12.17.18.769000000 AM,53,3,22.8699989318848
05-NOV-17 12.17.21.764000000 AM,53,3,47.7700004577637
05-NOV-17 12.25.58.377000000 AM,53,0,80.2299957275391
05-NOV-17 12.26.01.372000000 AM,53,0,81.25
05-NOV-17 12.29.16.779000000 AM,53,3,22.8699989318848
05-NOV-17 12.29.19.790000000 AM,53,3,47.7700004577637
05-NOV-17 12.57.33.820000000 AM,53,3,0
05-NOV-17 12.57.33.820000000 AM,53,7,0
05-NOV-17 12.57.34.429000000 AM,53,0,0
05-NOV-17 12.57.34.429000000 AM,53,4,0
05-NOV-17 12.57.34.631000000 AM,53,1,0
05-NOV-17 12.57.34.631000000 AM,53,5,0
05-NOV-17 01.26.48.473000000 AM,53,4,27.0999984741211
05-NOV-17 01.26.48.473000000 AM,53,0,66.1399993896484
05-NOV-17 01.26.48.660000000 AM,53,5,9.5
05-NOV-17 01.26.48.660000000 AM,53,1,25.0399990081787
05-NOV-17 01.26.48.863000000 AM,53,3,42.8999977111816
05-NOV-17 01.26.48.863000000 AM,53,7,9.35999965667725
05-NOV-17 01.26.51.468000000 AM,53,0,80.4300003051758
05-NOV-17 01.26.51.468000000 AM,53,4,48.2899971008301
05-NOV-17 01.26.51.671000000 AM,53,1,48.129997253418
05-NOV-17 01.26.51.873000000 AM,53,3,32.6100006103516
05-NOV-17 01.27.15.461000000 AM,53,4,0
05-NOV-17 01.27.15.866000000 AM,53,7,0
05-NOV-17 01.27.24.462000000 AM,53,4,1.62999999523163
05-NOV-17 01.27.24.868000000 AM,53,7,1.75999999046326
05-NOV-17 01.27.27.473000000 AM,53,4,8.34999942779541
05-NOV-17 01.27.27.863000000 AM,53,7,4.6100001335144
05-NOV-17 01.27.30.468000000 AM,53,4,47.4799995422363
05-NOV-17 01.27.30.874000000 AM,53,7,9.35999965667725
05-NOV-17 01.27.33.463000000 AM,53,0,0.399999976158142
05-NOV-17 01.27.33.666000000 AM,53,5,0
05-NOV-17 01.27.33.666000000 AM,53,1,0
05-NOV-17 01.27.33.869000000 AM,53,3,0.399999976158142
05-NOV-17 01.27.45.475000000 AM,53,0,14.289999961853
05-NOV-17 01.27.45.663000000 AM,53,1,3.44999980926514
05-NOV-17 01.27.45.663000000 AM,53,5,1.68999993801117
05-NOV-17 01.27.45.865000000 AM,53,3,21.5100002288818
05-NOV-17 01.27.48.471000000 AM,53,4,48.7000007629395
05-NOV-17 01.27.48.471000000 AM,53,0,40.2099990844727
