CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
09-NOV-17 03.13.28.246000000 AM,39,7,28.3699989318848
09-NOV-17 03.13.28.246000000 AM,39,3,52.939998626709
09-NOV-17 03.13.31.256000000 AM,39,3,54.2999992370605
09-NOV-17 03.13.31.256000000 AM,39,7,46.5599975585938
09-NOV-17 03.25.08.280000000 AM,39,3,53.2099990844727
09-NOV-17 03.25.08.280000000 AM,39,7,41.129997253418
09-NOV-17 03.25.11.276000000 AM,39,7,46.5599975585938
09-NOV-17 03.25.11.276000000 AM,39,3,54.2999992370605
09-NOV-17 03.37.52.025000000 AM,39,0,39.0299987792969
09-NOV-17 03.37.52.025000000 AM,39,4,39.9599990844727
09-NOV-17 03.37.55.004000000 AM,39,4,56.6800003051758
09-NOV-17 03.37.55.004000000 AM,39,0,57.0200004577637
09-NOV-17 03.40.22.227000000 AM,39,5,15.0899991989136
09-NOV-17 03.40.22.227000000 AM,39,1,15.0799999237061
09-NOV-17 03.40.22.430000000 AM,39,7,41.129997253418
09-NOV-17 03.40.25.222000000 AM,39,5,17.5200004577637
09-NOV-17 03.40.25.222000000 AM,39,1,17.5200004577637
09-NOV-17 03.40.25.425000000 AM,39,7,46.5599975585938
09-NOV-17 03.40.43.428000000 AM,39,3,53.2099990844727
09-NOV-17 03.40.43.428000000 AM,39,7,41.129997253418
09-NOV-17 03.40.46.423000000 AM,39,7,46.5599975585938
09-NOV-17 03.40.46.423000000 AM,39,3,54.2999992370605
09-NOV-17 04.00.38.463000000 AM,39,3,53.2099990844727
09-NOV-17 04.00.41.458000000 AM,39,3,54.2999992370605
09-NOV-17 04.27.41.294000000 AM,39,1,15.6899995803833
09-NOV-17 04.27.41.294000000 AM,39,5,15.6300001144409
09-NOV-17 04.27.41.497000000 AM,39,3,53.2099990844727
09-NOV-17 04.27.47.300000000 AM,39,5,17.5200004577637
09-NOV-17 04.27.47.300000000 AM,39,1,17.5200004577637
09-NOV-17 04.27.47.503000000 AM,39,3,54.2999992370605
09-NOV-17 04.47.15.326000000 AM,39,1,15.0799999237061
